response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
Saving our lives. After he takes me out he's gonna be coming for you!,Rick what the hell are you doing?,All Mortys,That son of a bitch is gonna kill me!,All Ricks,What?,All Summers,"Huh, that's weird. Oh, my God.",All Ricks,No.,Morty 2,You mean drunk?,Morty 2,"Alright, perfect. Sit still,  arms down, I'm gonna do this again, this time, be like Grampa.",All Ricks
"Hey, yo, scary T., don't even trip about your pants dawg. Here's a pair on us, fool.","You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is.",Rick,"Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?",Rick,"Oh, uh, um ... ""Bitch.""",Scary Terry,"Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants!",Scary Terry,"Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry.",Morty,Looks like scary Terry's having a nightmare.,Rick,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.",Rick
"Is this punk bothering you, Jessica?","Oh man. I love you too, Jessica!",Morty,"I love you, Morty. I love you so much it burns!",Jessica,"WOW, thanks!",Morty,"Omigod, Morty. You look REALLY nice tonight.",Jessica,"Hey there, Jessica.  Whooa-whoopsie!",Morty,"The racetrack had a starlit derby, there's a seven horse collision, and Davin's there alone.",Beth,This late?,Jerry
"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.",Morty,"Don't judge, Morty.",Rick,"Oh, man, Rick, this is pretty weird.",Morty,"All right, let's go.",Rick,You don't know m-,Mrs. Pancakes,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!",Rick,"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!",Morty
"That's it... that's it, Rick. I'm taking the wheel.","You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",Rick,I don't care about Jessica! Y-Yyyyyyyyyyou—,Morty,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.",Rick,"What are you talking about, Rick?",Morty,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",Rick,"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!",Morty,"And so that's the surprise, Morty.",Rick
"Because I waited until I was certain it was what I wanted to do, Morty. That's the difference between you and me. I'm certain, and you're a walking burlap sack filled with turds.",If you could get out that whole time why didn't you?,All Mortys,Fine I'll just do it myself.,All Ricks,"Okay, well we're still not gonna let you out of this crate.",All Summers,"Hey Rick, it's Rick. Listen, I'm sorry about earlier. No hard feelings. I know you know I mean it too. Take it easy. Whoa. Damn, look at this, I'm blown up. Three new voicemails.  Yeah yeah, I heard this one.  You get the idea  we're cool now.",All Ricks,"Don't fall for it, it's a bit.",All Ricks,"Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself.",All Ricks,W-what're you doing?,All Mortys
What?,Or maybe you were out all night again with Grandpa Rick.,Summer,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.",Morty,"Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.",Beth,"Oh my God, his head is in his food. I'm going to puke.",Summer,I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Jerry,Um...,Morty,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",Rick
"Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’?","Well, do you think maybe, could you give me some help with it, or… ?",Rick,"Shit. Over-developed, under-developed. Bad songs are bad songs.",Ice-T,"Wh-What do you think, Ice? Probably a little over-developed.",Rick,"You appear to be dying. I will make efforts to prevent this, but can promise nothing.",Birdperson,Birdperson?,Morty,Morty.,Birdperson,"Of course I do, silly!  Oh my God, daddy, I’m sorry I called you silly! I’m so sorry!  Heavenly head and cranial creator! Forgive my transgressions against family and community! May my chores complete me as I complete them!",Summer
Please be kind to us for we are but tiny things with entire bodies stuck to your ground.,"Hey, take your pants off It’s schwifty time today",Rick,Listen! The storm is stopping!,Summer,Take a shit on the floor Time to get schwifty in here,Rick,"Don’t analyze it, Nathan. It’s working!",President,Mr. Bulldops?,Nathan,Take off your pants and your panties Shit on the floor Time to get schwifty in here I’m Mr. Bulldops,Rick,"It’s our world’s best effort, that’s what.",President
It's the galaxy's faith in the Vindicators that keeps the galaxy secure!,Never said that!,Morty,"It's like you said, Morty",Supernova,Titty-Bean?,Rick,Greater good?!,Morty,"Just let Titty-Bean do this, Snuzzles. It's for the greater good.",Supernova,Sweetheart?,Million Ants,Not all of us.,Supernova
"These halves don't belong together, bitch!",I always hated that song!,Scary Terry,"As a matter of fact, Terry, there is something you could help us with.",Rick,"If you guys ever need anything, just say the word.",Scary Terry,"Oh, hey, it's you guys!",Scary Terry,"You're our boy, dawg. Don't even trip.",Rick,"You don't need to say anything. We got you, dawg.",Morty,"Aww, bitch. I don't know what to say.",Scary Terry
It is random debris. I found it in my carpet. I don’t know what humans eat.,"All of Rick’s moves are dick moves! Wh-what am I eating? What is this, bird seed?",Morty,"Is your intention to abandon Rick using his own portal gun? In bird culture, this is considered a dick move.",Birdperson,"But can you help me get to my family? You know, at my house?",Morty,I believe I can access the history of Rick’s gun and help you get back to him.,Birdperson,"Wait, wait, wait, why-why --",President,"I’m setting the nuclear option to launch one minute into Earth’s performance. And you, Mr. President, I hope you like being hit in the face with a gun!",Nathan,"What the hell are you doing, Nathan? I’m the goddamn President of the United fuckin’ States!",President
"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.",Our time is gonna be unstable? What does that even mean?,Morty,"Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.",Rick,Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,Rick,A competent one.,Summer,What? What kind of monster are you?,Morty,"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?",Summer,It's not my fault we froze time on a humid day!,Morty
No it doesn't. It hurts.,"Doesn't feel so good, does it?",Morty,I'm gonna pee my pants.,Beth,"Are you guys Power Rangers? But only on one small part of your necks? Hey, do those things need batteries? Were they included? Clean up in the fruit isle! Not in a homophobic way though, they're just fruity necklaces is all I was saying.",Jerry,"Um, hold the phone, where did you guys get those necklaces from? Uh, Lady Gaga, table for three, am I right?",Jerry,"Hey guys, we're home.Morty & Summer",Beth,"Shut up, Morty. The last time you felt something, we all almost died. You little s—piece of shit.",Rick,"But I feel like one of the sixty-four Ricks like, sacrificed himself for me, maybe, I think.",Morty
"Uh, well, Beth, I don't think your decision should be based on politics. Who could argue with a wife's decision to keep her LOVER INTACT.","I mean, Jerry, y-you didn't explain the full gravity of the situation.",Beth,Hundreds of billions.,Alien Doctor,"Woah! Woah. So, billions of life forms?",Beth,"There are those that believe, Mr. Smith, that Shrimply Pibbles represents love between all life. That his fate will determine the fate of hundreds of billions of sentient life forms.",Alien Doctor,"Sheesh, well, there you go. Sorry. I know it's hard to understand but on Earth, love comes first.",Jerry,"Oh, I don't think you do. I bring my husband in for emergency medical treatment, he's gone an hour, and now you want his PENIS, and you hand me some... catalog. It's--It's--It's--It's, I mean.",Beth,"I understand your feelings, Mrs. Smith.",Alien Doctor
I hate you!,"Because it's incentive for you to give me my cleanest shot, which will be your least painful death. But if you want to die slower than that, I'm super into it. All you got to do to get that started is kill the girl.",Rick,Because you love her!,Riq IV,"Or let her go, which I will reward with a quicker death.",Rick,What the fuck?,Summer,"20 yards, nine-gauge plasma pistol, My first shot would liquify her insides and injure you, second shot adds recoil. The risk to me is minimized if I wait for you to shoot her, which I'm encouraging you to do.",Rick,Why not shoot through her?,Riq IV,R-Rick?,Morty
"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!","I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty.",Rick,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?",Jerry,"Morty, come on. I need your help tonight.",Rick,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!",Jerry,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy.",Morty,Your idiot dog!,Jerry,What's wrong?,Morty
"Pickle Man, there's $100 million worth of bonds in a safe on level two. I'll give you the combination.","No, thanks. I'm coming for you now.",Pickle Rick,"Do it. Okay, you win, Pickle Man. I'm unsealing the building.",Agency Director,Jaguar couldn't make it.,Pickle Rick,"That will be your downfall, Jaguar, not being open to new experiences.",Pickle Rick,"Yeah, there's lots I wouldn't do to see my daughter, but killing you gets me to her quicker than your derivative bullshit.",Pickle Rick,There's nothing I won't do to see her again.,Pickle Rick,You should know that isn't original.,Pickle Rick
What?,I didn't. I did.,Rick,When'd you make the leap to interdimensional travel?,Cornvelious Daniel,Me. I used to wear blue pants.,Rick,Is that--,Cornvelious Daniel,"Okay. All right, all right.",Rick,"Rick, you're doing this bit while your brain is melting.",Cornvelious Daniel,"Yeah, I'd like to get a 10-piece McNugget and a bunch of the Szechuan sauce. Like, as much as you're allowed to give me. In 1998, they had this promotion for the Disney film ""Mulan,"" where they -- where they -- they created a new sauce for the McNuggets called Szechuan sauce, and it's delicious! And then they got rid of it, and now it's gone. This is the only place we're gonna be able to try it, is in my memory.",Rick
"Scary stuff, huh? Pretty freaky. Hi, I’m Morty’s math teacher. I’m also part of the street team inviting folks to the church downtown so we can pray together.",Morty and I are going to look into it. You guys hold tight.,Rick,"Dad, what do you know about this?",Beth,Ok…,Jerry,"Shut up, Jerry.",Beth,"She’s allowed to think it’s God if she wants, honey!",Jerry,"It’s not God, Summer.",Beth,"Is it God? If it’s God, do we get out of school?",Summer
"Thank you. I appreciate it, Morty. I know you were sucking the Kool-Aid out of the Vindicators' dicks, so the fact that I was right about them must be pretty hard to admit.","Oh, I don't know. You managed to destroy just about everything today; the villains, the heroes, the lines between them, my childhood...",Morty,"Jesus Christ, what a shitty neutrino bomb. it's a miracle I actually every destroy anything.",Rick,"You always put it in the weirdest place! Um, uh, over here, maybe?",Morty,Where the fuck is the lead wire?!,Rick,That's a three-pointer!,Drunk Rick,"Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife!",Alan,"We aren't married anymore, Alan.",Supernova
"Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right?","Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty?",Rick,Oww!,Morty,"A hair, Morty, I need one of your hairs! This isn't Game Of Thrones.",Rick,"Oh well, okay...",Morty,"It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA.",Rick,"You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?",Rick,"YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once?",Morty
What? Why didn't you notify us?,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months.",Principal Vagina,"Oh, man.",Morty,"Come on, Morty. Please, Morty. You have to do it, Morty.",Rick,In my butt?,Morty,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt.",Rick,Uuuh.,Morty,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty",Rick
Morty!,The heads are displeased!,Summer,I’m sure that has… that has nothing to do with this.,Principal Vagina,"Nup-oo-nup-oo-nup-oo-nups… ooh, tough crowd.",Rick,"Mr. President, if I’ve learned one thing today, it’s that sometimes, you have to not give a fuck!",Morty,"I’m really bad at this, Morty! There are way too many buttons on this thing!",President,Hey! Look at the heads! Looks like the heads are gettin’ angry!,Mr. Goldenfold,Headward free now to rise!,Principal Vagina
I’ve seen enough. These guys are one-hit wonders.,"Rick, cut it out! That’s not funny, Rick!",Morty,"Hey, Morty! Could you lick my…",Rick,Stop saying it like it’s a thing! You made it up!,Morty,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",Rick,What?!,Morty,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?",Rick,"That’s planning for failure, Morty. Even dumber than regular planning.  Balls.",Rick
"What?! Why would you -- Look, we're running late. We have to go.","Right here, sweetie. I'm a pickle!",Pickle Rick,"Morty, we have to get going, or we're gonna be late. Where's your grandpa?",Beth,"The reason anyone would do this is, if they could, which they can't, would be because they could, which they can't.",Pickle Rick,I-I'm just trying to figure out why you would do this. Why anyone would do this.,Morty,"Morty, stop digging for hidden layers and just be impressed. I'm a pickle.",Pickle Rick,"All right, well, do pickles live forever or --",Morty,I wouldn't be much of a pickle if I could.,Pickle Rick
Oh shit.,"Whoa, ow, ow.",Morty 2,"Ow, ow ouch!",Summer 1,"Huh, what do you know, it's working",Rick,"Whatever you're asking, the answer is I'm amazing. And away we go!",All Ricks,"Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.",All Ricks,We “isn't”,All Ricks,Or?,Morty 2
"You know, geez Rick, y—y—you're really tearing into me right now. You know, words hurt.","Because I waited until I was certain it was what I wanted to do, Morty. That's the difference between you and me. I'm certain, and you're a walking burlap sack filled with turds.",All Ricks,If you could get out that whole time why didn't you?,All Mortys,Fine I'll just do it myself.,All Ricks,"Okay, well we're still not gonna let you out of this crate.",All Summers,"Hey Rick, it's Rick. Listen, I'm sorry about earlier. No hard feelings. I know you know I mean it too. Take it easy. Whoa. Damn, look at this, I'm blown up. Three new voicemails.  Yeah yeah, I heard this one.  You get the idea  we're cool now.",All Ricks,"Don't fall for it, it's a bit.",All Ricks,"Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself.",All Ricks
Geez. I didn’t know there were still Ricks and Mortys living on the Citadel. I wonder what their day-to-day lives are like.,You don’t have to be a dick.,Rick,Every day.,Rick,"Yeah, he knows. He murdered them.",Morty,They tried to murder him first.,Morty,"What are you, stupid? We’re done with the Citadel of Ricks. I was  never on board with it in the first place, that’s why I murdered everyone in charge and left it to rot.",Rick,"Oh, for fuck’s sake.",Rick,"Ready as I’ll ever be, Rick!",Morty
You shut up!,What's yours?,Morty,You didn't what?,Morty,I didn't!,Summer,You shut up you big... female asshole!,Morty,"Shut up Morty, you vindictive little turd!",Summer,"Boom! In your face Summer! You really dropped the ball, man.",Morty,"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.",Rick
Yes?,"I-I-I want a portal gun. Unregistered, untraceable, with enough fluid to take me off this goddamn prison!",Rick J-22,"Your life is a lie, man.  All your lives are lies! Don’t you get it?! They told us we were special because we were Ricks, but they stripped us of anything that made us unique!",Rick J-22,I know.  That’s why you’re fired.,Candidate Morty,Holy shit.  I don’t believe it! I-I can’t believe it!,Campaign Manager Morty,"But I’ve got a message for them, from the Ricks and Mortys keeping it alive. A message… from the Ricks and Mortys that believe in this Citadel to the Ricks and Mortys that don’t",Candidate Morty,Holy shit.,Rick J-22,The Citadel’s problem is the Ricks and Mortys feeding on the Citadel’s debt.,Candidate Morty
I don't care about Jessica! Y-Yyyyyyyyyyou—,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.",Rick,"What are you talking about, Rick?",Morty,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",Rick,"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!",Morty,"And so that's the surprise, Morty.",Rick,Whhhh-wha?,Morty,And Jessica's gonna be Eve.,Rick
"I'm in a lot of pain, Rick!","Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.",Rick,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?",Principal Vagina,"Ahem, Horse heart surgeon.",Jerry,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,"Well, maybe you're right.",Jerry,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.",Beth,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",Jerry
"Oh, the Smith family, minus a dad. You're patients of Dr. Wong, too?","It's nobody's choice to be here, you knobs. The family was told to get counseling by your principal, even though it's not the family that was huffing pottery glaze in the art room and desk wetting in history class.",Beth,"Yeah, and what's courageous about eating a hot dog?",Morty,How is this even family therapy if Dad's not invited and Grandpa won't come?,Summer,Yes!,Pickle Rick,"Aah! Come on! Come on, motherfucker! Come on!",Pickle Rick,Come get this delicious brine.,Pickle Rick,Come on. That's it.,Pickle Rick
"For 97 more years, Morty!",What is that?!,Morty,"Season -- Nine more seasons, Morty. Nine more seasons until I get that dipping Szechuan sauce.",Rick,What are you talking about?!,Morty,"That's what's gonna take us all the way to the end, Morty.",Rick,"What are you talking about, Rick?",Morty,"If it takes nine seasons, I want my McNugget dipping sauce, Szechuan sauce, Morty.",Rick,What the hell?,Morty
Fifteen years.,Rick. And I'm--,Rick J-22,"Then come and get me, motherfuckers!!",Rick J-22,A portal to the Blender Dimension?! That's the oldest trick in the book! I'm a Rick! I'm more Rick than any of you!!,Rick J-22,"A bad place, but you're going to a better one soon.",Rick J-22,Same old story. Ricks killing Mortys.,Cop Rick,"Oh, Grandpa Rick! I don't wanna be on the Citadel anymore! I want to be a regular kid! I want to go to school and throw balls around and masturbate!",Cop Morty,"You told me to put my faith in the right Morty. I got faith in you, partner. Do the right thing.",Cop Rick
Oh God! We’re up?!?!,"That was Chunky Tunk with “Full Ming Mong, Empty Gorp Dorp.” Up next, planet Earth!",Cromulon,"Morty, suppose you could retrieve your family from Earth but had to abandon Rick. I could give your loved ones shelter on Birdworld, even jobs, possibly as worm ranchers. How often do you think you might look up at the stars and wonder what might have been had you just put your faith in Rick?",Birdperson,What’s that? Who’s that baby?,Morty,"And as a result, he has the power to save or destroy entire worlds. And he is the reason you and I know each other. And the reason I’m alive at all.",Birdperson,"Tammy… gross. Birdperson, you always stick up for Rick, but he doesn’t care about anyone but himself. He doesn’t think about the consequences of anything he does.",Morty,"Don’t be gross, Tammy.",Birdperson,It is random debris. I found it in my carpet. I don’t know what humans eat.,Birdperson
"After 988 seasons of Planet Music, the Cromulons have decided to declare Earth the final winner and bring our musical reality show to a conclusion. Goodbye!",Ohhh my GOOOOODDDD!!!,Principal Vagina,Say it with me!,Rick,Ohhhh yeahhhh!,Morty,"Come on, here we go!",Rick,Ohhhh yeahhhh!,Morty,All right!,Rick,I say…  Let’s do it!,Rick
"A bad place, but you're going to a better one soon.",Same old story. Ricks killing Mortys.,Cop Rick,"Oh, Grandpa Rick! I don't wanna be on the Citadel anymore! I want to be a regular kid! I want to go to school and throw balls around and masturbate!",Cop Morty,"You told me to put my faith in the right Morty. I got faith in you, partner. Do the right thing.",Cop Rick,"If you do, I'll talk.",Cop Rick,"If we don't kill him, he'll talk!",Cop Morty,That's enough!,Cop Rick,"Not so big now, are ya?",Cop Morty
"I'm an angry father, not an improviser.",What?,Beth,"Oh, look, honey. It's our son with Albert Ein-douche.",Jerry,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass.",Rick,Yeah.,Morty,"You're Morty, right?",Jessica,"Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding.",Morty,Wow. Did you just come into the cafeteria through a portal?,Jessica
"That, Dianne, is the last great idea that will ever be had in this garage.","Sort of. I just took a long look at myself, and I don't think this science thing is gonna pay off.",Young Rick,"A different kind of Rick, I guess.",Young Rick,"Eh, pass.",Young Rick,Sounds lonely.,Young Rick,That's my sister. This used to be my home.,Morty,"What is this place? And what's with ""Hunger Games"" Summer?",Summer,"Y-You want to see what a hero Rick is? I-I'll bring you somewhere, Summer. Um-",Morty
I love this man!,"Trade secret, Mr. President. Particle beam in a wristwatch… snake holster on the leg.",Rick,Why didn’t he turn into a snake?,President,DIIIIEEEE!!!!,Nathan,Understood.,Morty,"Actually, if you try to tell anyone what happened here, we’ll deny it and probably worse.",President,Sure thing! And I was kinda hoping that I could get a selfie with you?,Morty,"I hope I can call on you again if we need you, Morty.",President
"Big Morty, you're under arrest.","Wh-why would you say something like that, Big Morty? You're fucking things up for both of us here!",Cop Morty,"Don't worry about Rick, Big Morty. He's new. He doesn't understand how it works.",Cop Morty,"M-m-my partner. Morty, you're right. Mortytown is bad, but that doesn't mean that we have to be.",Cop Rick,Morty...,Cop Rick,"Big Morty likes to contribute to keeping the peace in Mortytown.  Think of him as a drug lord, and us his cops on his payroll.",Cop Morty,They had a little accident. They won't be causing any trouble anymore.,Cop Morty,"""The Creepy Morty"". What is it your kind's always saying? ""Don't think about it."" Come on. There's someone important I want you to meet.",Cop Morty
CALL ME A SIDEKICK ONE MORE TIME! CALL ME A SIDEKICK!!,"Well, maybe the uniform makes a big difference. Who am I to say? To me, you just look like a sidekick.",Morty 1,"He’s not my Rick. He’s my partner. Aw, geez.",Cop Morty,"Ah geez man, that sucks that your Rick’s makin’ you do that.",Morty 2,"I hear that, ah geez, I guess I’m supposed to be figuring out who robbed the store across the street but aw geez I dunno.",Cop Morty,"Aw geez, man, nothin’ man, we’re just hangin’ out and stuff.",Morty 1,"Aw geez, hey, what’s goin’ on, fellas?",Cop Morty,Lemme turn over a few rocks.,Cop Morty
"If we were near a hospital, I could treat it, but I-I think we have to just-","I thought that's what a man's supposed to say, it's not like I could have actually done it.",Jerry,"It's not an armadillo, asshole!",Beth,"Well, do we- do I uh, get a big rock? Or--",Jerry,It's still alive.,Beth,This is Rum Raisin!,Jerry,W-what?,Beth,I hit a deer! W-we have to tell the cops you were driving.,Jerry
"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!","They're not robots, Rick!",Morty,"They're just robots, Morty! It's okay to shoot them! They're robots!",Rick,"Oh, man. I mean, you know, I-I don't want to shoot nobody.",Morty,"I need to type in the coordinates to our home world, Morty. Cover me.",Rick,Whoooooo!,Morty,"Ooh! Oh, nice, Morty! The student becomes the teacher.",Rick,Don't think about it!,Rick
"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,Snuffles,"Aw, he's saying ""I love lasagna"".",Jerry,Aaaawwaaaaawaawa!,Snuffles,"Oh, my God! He's trying to tell us something.  That is so awesome.",Summer,Ooowwwwowowwaawaa!,Snuffles,"You said the same thing, equally sarcastically, at our wedding and guess what?",Jerry,This is what I'm talking about. This is a dog.,Jerry
Yess.,"Jerry, do you want homeless people to have homes?",Beth,"The ""yes"" or ""no"" kind.",Jerry,Want kinda question is that?,Beth,"Beth, do you still love me?",Jerry,"Ugh, unless she has the flu.",Rick,"Www.. what am I, a hack?! Go nuts, Morty, it's full proof.",Rick,"Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right?",Morty
"Huh, I'm seeing more croc than bot here.","Crocubot, don't!",Supernova,"The Vindicators say their job is is to fight evil wherever it hides, but they don't... pick the location you'll... you'll never even hear them mention, because to fight darkness is to fight yourself.",Drunk Rick,"Ahh, it would've been if I hadn't.",Rick,"That's not the issue, Rick!",Morty,"Uh, I kind of am. I saved the goddamn universe.",Rick,The two of us?!  I hope you're proud of yourself!,Morty,"Let's just get through this as quickly as possible. Then, we'll deal with the two of you.",Supernova
What the hell is Is-ra-el?,"Congrats, you did it!",Drunk Rick,Do not threaten her!,Million Ants,If you lay those deaths at my doorstep one more time...,Alan,I'm not the one that didn't want you back. Alan was!,Supernova,"You know,  I could have made a device to detect Doomnomitron from orbit like  that.",Rick,"Oh, o-okay. This again?",Morty,Doomnomitron was hiding here! He's a shapeshifter! Destroying Dorian 5 was the only way to kill him!,Supernova
"Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours.","Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you?",Supernova,"Obviously, I came here last night during a blackout.",Rick,"Rick? What's going on, buddy?",Vance,"If you guys are watching this, you're, you know, the Vindicators. So now that we know...",Drunk Rick,"Welp, it's official. I had too much to drink last night.",Rick,"Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!!",Drunk Rick,I sense the presence of a greater evil.,Million Ants
Get it yourself.,"Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing?",Rick,"Man, fuck you.",Alan,"Really? You don't say. You would have used a ghost train?  Hey, everybody, the ghost train guy would have used a ghost train!",Rick,I could've just used a ghost train.,Alan,"Hey, I can't help if I can't see.",Rick,RICK!,Supernova,"Uh, my God, that's better.",Rick
GET YOUR HANDS OFF OF HIM!,"Whoa, take it easy!",Morty,"There's somethin' special bout you, somethin' special.",Brad,"Oh, well, no problem Brad.",Morty,"Aw man, Morty, ugh, I'm really sorry.",Brad,"LEAVE HIM ALONE, JERK!  I'M IN LOVE WITH HIM! HE'S MORE MAN THEN YOU WILL EVER BE!",Jessica,"Is this punk bothering you, Jessica?",Brad,"Oh man. I love you too, Jessica!",Morty
He gotta be stopped...  He-he cou-couldn't be allowed to win.,Maybe... Maybe he went somewhere nice.,Glasses Morty,SLI-I-I-I-I-I-I-ICK!!!!,Lizard Morty,NOOOOOOOO!!!!,Glasses Morty,"Me, too. But I doubt it.",Slick,"Well, I hope you're putting something pretty goddamn important in there.",Glasses Morty,Because I wish that would change. I wish anything about this life would change.,Slick,Then why did you bring us here?,Lizard Morty
